1196,-0.0255612,0.402182,-0.0735786,0.701601,0.712112,0.0205515,-0.0151459
1228,-0.025575,0.402065,-0.0735825,0.701587,0.712121,0.0208474,-0.0149715
1261,-0.0255321,0.402147,-0.0734561,0.70166,0.712045,0.021305,-0.0145496
1296,-0.0254821,0.402192,-0.0733606,0.701806,0.711901,0.0214686,-0.0143031
1329,-0.0254187,0.402227,-0.0733218,0.701937,0.71177,0.0213501,-0.0145963
1361,-0.0253685,0.402125,-0.0732991,0.701386,0.712303,0.0219377,-0.0141947
1395,-0.0254465,0.402218,-0.0733772,0.701939,0.711754,0.0219541,-0.0143374
1428,-0.0254377,0.402204,-0.0733784,0.701928,0.711768,0.0220946,-0.0139309
1461,-0.0254341,0.402127,-0.0732964,0.70205,0.711652,0.0221903,-0.0136066
1497,-0.0255005,0.402211,-0.073387,0.702142,0.711556,0.0224695,-0.0134355
1528,-0.0255476,0.402101,-0.0733989,0.702205,0.711512,0.0216829,-0.013747
1562,-0.0255658,0.402132,-0.0733342,0.702436,0.711289,0.0216894,-0.0134896
1597,-0.0255251,0.402097,-0.0733267,0.702245,0.711482,0.0215738,-0.0133821
1628,-0.0254849,0.402034,-0.0733486,0.701924,0.711783,0.0226509,-0.0123994
1662,-0.0253856,0.402115,-0.0733022,0.702458,0.711256,0.0227478,-0.0122919
1695,-0.0253938,0.402157,-0.0731392,0.701931,0.711756,0.0231634,-0.0126472
1728,-0.0254623,0.40201,-0.07323,0.701561,0.712115,0.0232128,-0.012859
1762,-0.0254785,0.401956,-0.0731421,0.701347,0.712341,0.0230735,-0.0122504
1795,-0.0254178,0.401915,-0.073147,0.700871,0.7128,0.0233488,-0.0123275
1828,-0.0254509,0.402079,-0.0731201,0.701638,0.712051,0.0228671,-0.0128231
1862,-0.0254321,0.402192,-0.0729771,0.701636,0.712044,0.0232559,-0.0126257
1895,-0.0253928,0.402089,-0.0731096,0.701346,0.71233,0.0233094,-0.0125289
1929,-0.0252695,0.402136,-0.0730735,0.701458,0.712211,0.0231867,-0.0132351
1962,-0.0253589,0.402296,-0.0730874,0.701742,0.711928,0.0229587,-0.0137304
1995,-0.0253015,0.402233,-0.073084,0.701937,0.711738,0.0227851,-0.0139716
2028,-0.0253455,0.402162,-0.0731147,0.702017,0.711681,0.0222888,-0.0136194
2061,-0.0253058,0.402282,-0.0731631,0.701759,0.711932,0.0224757,-0.0135335
2096,-0.0253838,0.402312,-0.0732239,0.702383,0.711319,0.0218883,-0.0143163
2127,-0.0253209,0.402416,-0.0731143,0.702997,0.71071,0.021817,-0.0144947
2161,-0.0253184,0.402392,-0.0731987,0.703085,0.710633,0.0213514,-0.0146837
2196,-0.0252731,0.402303,-0.0732441,0.702278,0.711414,0.0223692,-0.0139423
2229,-0.0253437,0.402382,-0.0733232,0.702572,0.711139,0.0220481,-0.0137191
2318,-0.025275,0.402463,-0.0732549,0.702656,0.71106,0.0218007,-0.0139125
2319,-0.0253279,0.402331,-0.0733247,0.702428,0.711287,0.0218534,-0.0136947
2328,-0.0253622,0.40228,-0.073304,0.702208,0.711509,0.0220079,-0.0132026
2363,-0.0253328,0.402276,-0.0732886,0.701792,0.711915,0.0222048,-0.0130802
2396,-0.0252983,0.402294,-0.0732686,0.701974,0.711742,0.0221248,-0.0128743
