512,0,0,0,1,0,0,0
544,0,0,0,1,0,0,0
576,0,0,0,1,0,0,0
608,0,0,0,1,0,0,0
640,0,0,0,1,0,0,0
672,0,0,0,1,0,0,0
704,0,0,0,1,0,0,0
736,0,0,0,1,0,0,0
768,0,0,0,1,0,0,0
800,0,0,0,1,0,0,0
832,0,0,0,1,0,0,0
864,0,0,0,1,0,0,0
896,0,0,0,1,0,0,0
928,0,0,0,1,0,0,0
960,0,0,0,1,0,0,0
992,0,0,0,1,0,0,0
1024,0,0,0,1,0,0,0
1056,0,0,0,1,0,0,0
1088,1649.36,102.254,-503.152,0.702196,0.709668,-0.0287957,-0.0496202
1120,1649.46,102.285,-503.409,0.703432,0.708492,-0.0297586,-0.0483441
1152,1649.36,102.169,-503.382,0.70312,0.708793,-0.0298134,-0.0484259
1184,1649.4,102.172,-503.373,0.703045,0.708914,-0.0293834,-0.048014
1216,1649.42,102.26,-503.325,0.702977,0.70901,-0.0291606,-0.0477191
1248,1649.38,102.196,-503.32,0.703549,0.708434,-0.028753,-0.0480912
1280,1649.39,102.24,-503.428,0.703904,0.708027,-0.0302556,-0.0479752
1312,1649.41,102.202,-503.38,0.703442,0.708557,-0.0292872,-0.0475299
1344,1649.43,102.261,-503.272,0.703022,0.708946,-0.0287099,-0.0482789
1376,1649.36,102.243,-503.268,0.703787,0.708215,-0.0285313,-0.047972
1408,1649.35,102.272,-503.369,0.703018,0.708949,-0.0292953,-0.0479464
1440,1649.33,102.223,-503.318,0.703178,0.708793,-0.0292476,-0.0479336
1472,1649.32,102.242,-503.207,0.703238,0.708774,-0.0288992,-0.0475433
1504,1649.38,102.166,-503.238,0.703902,0.708185,-0.0287248,-0.0465878
1536,1649.4,102.23,-503.401,0.703709,0.708298,-0.0287199,-0.0477762
1568,1649.35,102.15,-503.402,0.703663,0.708365,-0.0289817,-0.0472934
1600,1649.36,102.271,-503.222,0.702946,0.70903,-0.0287891,-0.0481017
1632,1649.43,102.203,-503.355,0.703163,0.708754,-0.0293042,-0.0486949
1664,1649.4,102.305,-503.314,0.703497,0.708472,-0.0293132,-0.0479573
1696,1649.35,102.142,-503.376,0.703885,0.708159,-0.0291031,-0.0470007
1728,1649.39,102.156,-503.342,0.703895,0.708156,-0.028881,-0.0470505
1760,1649.44,102.204,-503.222,0.703477,0.708616,-0.0286327,-0.0465132
1792,1649.36,102.232,-503.25,0.703617,0.708498,-0.0278821,-0.0466472
1824,1649.42,102.204,-503.354,0.703366,0.708673,-0.0293741,-0.0468634
1856,1649.4,102.245,-503.313,0.703228,0.708835,-0.0288962,-0.0467802
1888,1649.44,102.252,-503.273,0.703087,0.708917,-0.0285925,-0.0478208
1920,1649.37,102.226,-503.245,0.703833,0.708204,-0.02839,-0.0475398
1952,1649.34,102.237,-503.342,0.702904,0.709216,-0.0283009,-0.0462356
1984,1649.31,102.237,-503.295,0.703106,0.708972,-0.0283745,-0.0468603
2016,1649.31,102.226,-503.252,0.703544,0.708561,-0.0280773,-0.0466753
2048,1649.38,102.221,-503.146,0.703906,0.70821,-0.0283841,-0.0463471
2080,1649.44,102.232,-503.366,0.703295,0.708735,-0.028424,-0.0475666
2112,1649.33,102.219,-503.263,0.703855,0.708239,-0.0288617,-0.0463943
2144,1649.38,102.197,-503.193,0.703569,0.708602,-0.0277165,-0.0458991
2176,1649.4,102.213,-503.252,0.704314,0.707885,-0.0278174,-0.0454628
2208,1649.42,102.303,-503.33,0.70412,0.708005,-0.0282769,-0.0463219
2240,1649.35,102.232,-503.244,0.703566,0.708517,-0.0287835,-0.0465862
2272,1649.37,102.228,-503.25,0.703852,0.708321,-0.0283061,-0.0455355
2304,1649.42,102.227,-503.205,0.704045,0.708173,-0.0277844,-0.0451575
2336,1649.32,102.283,-503.185,0.704196,0.708098,-0.0270128,-0.0444398
2368,1649.36,102.26,-503.286,0.704069,0.708162,-0.0281444,-0.044733
2400,1649.4,102.179,-503.307,0.703847,0.708422,-0.0275585,-0.0444756
2432,1649.39,102.262,-503.177,0.703852,0.708485,-0.0264385,-0.044085
2464,1649.31,102.299,-503.157,0.704254,0.708023,-0.0270812,-0.0446805
2496,1649.32,102.247,-503.271,0.703071,0.70911,-0.0275875,-0.0457553
2528,1649.34,102.203,-503.255,0.703637,0.708555,-0.0276748,-0.0456041
2560,1649.3,102.281,-503.156,0.703054,0.709157,-0.026997,-0.0456355
