time,x,y,z,qw,qx,qy,qz
5502,0.218704,0.464431,-0.076697,0.0458401,0.033527,-0.0530021,-0.996969
5502,0.224236,0.461056,-0.0698936,0.0689764,0.0393869,-0.0562276,-0.995244
5502,0.222712,0.462,-0.0711665,0.0708244,0.0638547,-0.0810837,-0.992125
7070,0.21871,0.464628,-0.0701316,0.0711038,0.0595015,-0.0981467,-0.990834
7070,0.219429,0.46662,-0.0802295,0.0344541,0.0203128,-0.0307012,-0.998718
7070,0.228434,0.459854,-0.0696074,0.06339,0.0508221,-0.0622145,-0.994741
7070,0.227977,0.459023,-0.0656472,0.0630942,0.0843018,-0.113467,-0.987936
7072,0.215517,0.467296,-0.0705845,0.0817953,0.0399862,-0.0794689,-0.992661
7072,0.221287,0.464192,-0.0795522,0.0182788,0.0362154,-0.0511542,-0.997857
7072,0.226413,0.460401,-0.0697395,0.0628888,0.0439024,-0.0617757,-0.995129
7072,0.220941,0.462089,-0.068313,0.0722045,0.0756045,-0.11041,-0.988363
7241,0.217059,0.463438,-0.0729631,0.0657149,0.0405107,-0.0711322,-0.994465
7241,0.224756,0.463896,-0.075334,-0.0476024,0.00622813,-0.00451097,0.998827
7241,0.218825,0.463618,-0.0742803,0.0593372,0.039292,-0.0623243,-0.995506
7241,0.215405,0.462669,-0.0686719,0.0628243,0.084576,-0.133705,-0.985395
7242,0.214853,0.465651,-0.0693472,0.0669717,0.0621117,-0.110505,-0.98966
7243,0.221457,0.464916,-0.0717317,0.0793707,0.0389151,-0.0541572,-0.994602
7243,0.217721,0.464372,-0.0770676,0.0433652,0.0423576,-0.0618967,-0.99623
7243,0.220227,0.459845,-0.0682097,0.0530408,0.0867384,-0.128138,-0.986521
7243,0.218436,0.462801,-0.06972,0.0691213,0.0864018,-0.123951,-0.98609
7243,0.22005,0.464704,-0.0711611,0.0737297,0.0281703,-0.0557356,-0.995311
7243,0.217178,0.466359,-0.078478,0.0479314,0.0228916,-0.0339424,-0.998002
7243,0.222945,0.461149,-0.0694834,0.0585476,0.0759902,-0.107113,-0.989599
7243,0.230419,0.460386,-0.0657617,0.060866,0.0427232,-0.0649277,-0.995106
7243,0.220372,0.464383,-0.0718347,0.0629795,0.0525164,-0.0712574,-0.994072
7243,0.225495,0.464284,-0.0757095,-0.0397967,0.0137556,-0.01255,0.999025
7243,0.226817,0.461092,-0.0720493,-0.05157,-0.00909909,0.0184096,0.998449
7243,0.223057,0.462104,-0.0693726,0.0673443,0.0428294,-0.0678734,-0.994487
7243,0.219449,0.463106,-0.0718508,0.0578811,0.0381279,-0.0683997,-0.995238
7243,0.224896,0.46434,-0.0753149,-0.0451119,0.0106306,-0.00811556,0.998883
7243,0.221034,0.462238,-0.073342,0.0544601,0.0463483,-0.0709921,-0.9949
7243,0.221187,0.461637,-0.0655986,0.0701158,0.0771973,-0.123743,-0.986809
7243,0.225319,0.462621,-0.0667849,0.0703613,0.0569925,-0.0845514,-0.992287
7243,0.219876,0.465299,-0.0727742,0.0767336,0.0341735,-0.0534783,-0.99502
7243,0.216622,0.46405,-0.0773525,0.0380984,0.0421325,-0.0700096,-0.995918
7243,0.220198,0.460846,-0.0688355,0.0585923,0.0818948,-0.119924,-0.987653
7243,0.21723,0.462784,-0.0725203,0.0715996,0.0619113,-0.094145,-0.991039
7243,0.216339,0.465649,-0.0734609,-0.0742172,-0.014892,0.0450497,0.996103
7243,0.216854,0.466602,-0.0822974,-0.0183377,-0.019332,0.0405569,0.998812
7243,0.221339,0.461084,-0.0711641,0.0570991,0.072783,-0.102093,-0.990455
7243,0.225479,0.460371,-0.0658555,0.0527315,0.0680716,-0.10718,-0.990494
7243,0.215184,0.465299,-0.0733423,0.0685577,0.0375385,-0.0710846,-0.994394
7243,0.222925,0.4653,-0.0768735,-0.0355821,0.0302258,-0.0198978,0.998702
7243,0.224461,0.460713,-0.070644,0.0559298,0.0294186,-0.0542344,-0.996517
7243,0.22154,0.461159,-0.0699565,0.0661791,0.0469492,-0.0788425,-0.99357
7243,0.218874,0.464009,-0.0743833,-0.0698938,-0.0211441,0.037254,0.996625
7243,0.217725,0.465399,-0.0795989,0.0284802,0.0288645,-0.0482745,-0.998001
7243,0.217455,0.463935,-0.0742014,0.0626269,0.0418576,-0.067648,-0.994852
7243,0.214693,0.465753,-0.0697195,0.0840282,0.0592096,-0.102943,-0.989352
7243,0.221743,0.462634,-0.0684888,0.0600543,0.0616415,-0.0941362,-0.991823
7243,0.218638,0.465014,-0.0730693,-0.0737407,-0.0217859,0.0445224,0.996035
7243,0.216802,0.465233,-0.0778079,0.0358062,0.0365528,-0.0628442,-0.996701
7243,0.220366,0.461794,-0.0685298,0.0604275,0.0776488,-0.114585,-0.988519
7243,0.103993,0.459362,-0.135981,0.197638,0.80777,0.224741,0.507856
7243,0.176236,0.514857,-0.149591,0.466158,0.463435,0.332165,0.676441
7243,0.134333,0.534025,-0.124319,0.30425,0.45897,0.0516599,0.833121
7243,0.153235,0.464734,-0.133082,0.222707,0.61746,0.290267,0.696326
7243,0.224996,0.460349,-0.0717075,0.0491264,0.0547913,-0.0680392,-0.994955
7243,0.221971,0.465175,-0.0771406,-0.046139,0.00966016,-0.00595558,0.998861
7243,0.22476,0.460368,-0.0701165,0.061316,0.0449934,-0.0706377,-0.994589
7243,0.21795,0.463319,-0.0727097,0.0713343,0.0348883,-0.063272,-0.994822
7243,0.219707,0.461652,-0.0727903,0.0537704,0.0429863,-0.0722467,-0.994999
7243,0.220708,0.464953,-0.0778286,-0.0364658,-0.00867872,0.022981,0.999023
7243,0.217474,0.46493,-0.075063,0.0601917,0.0385329,-0.0588097,-0.995698
7243,0.216044,0.465433,-0.0694482,0.088579,0.054345,-0.0943437,-0.990091
7243,0.211922,0.466155,-0.073709,0.0635542,0.0541431,-0.095438,-0.991918
7243,0.213368,0.466369,-0.0720801,0.0725524,0.0527533,-0.0952494,-0.991394
7243,0.218363,0.465725,-0.0785337,-0.0438809,-0.00905988,0.0250364,0.998672
7243,0.22297,0.460779,-0.0680142,0.0691166,0.0807938,-0.109417,-0.988283
7243,0.221104,0.462502,-0.0670896,0.0567443,0.0747337,-0.118495,-0.988501
7243,0.214875,0.464741,-0.0736157,0.07128,0.0478096,-0.0831946,-0.992821
7243,0.218396,0.465773,-0.0800815,-0.0281952,-0.0176026,0.0328783,0.998897
7243,0.221912,0.461312,-0.0711013,0.0558358,0.0750937,-0.10243,-0.990319
7243,0.215737,0.461197,-0.07476,0.0676056,0.0580651,-0.0884333,-0.992078
7243,0.216267,0.465166,-0.0731475,0.0694417,0.0382714,-0.0667451,-0.994605
7243,0.225368,0.464365,-0.0760544,-0.0400342,0.0091105,-0.00765866,0.999118
7243,0.225563,0.461417,-0.069991,0.0628152,0.0396192,-0.058315,-0.995522
7243,0.216319,0.463796,-0.0698618,0.0738748,0.061819,-0.104041,-0.989887
7243,0.221148,0.461705,-0.0691873,0.0612992,0.0538971,-0.0900458,-0.992577
